alpha1,gamma1,beta1,alpha2,gamma2,beta2,alpha3,gamma3,beta3,alpha4,gamma4,beta4
-0.028877597343942206,0.5615579248720953,0.2859500089209882,-0.01662298566495688,-0.005630321958363279,-0.25954681421842707,-0.07611152798447954,-0.08393038417942267,-0.30617790273213535,-0.01593079287951967,0.058178331202134816,-0.20132536093787234
-0.044254370971653065,0.5205961036943013,0.25884039758649113,-0.0017784359684935448,0.03425817029900669,-0.22907050936151988,-0.07682862288366477,-0.05528474140234828,-0.2789250643945757,0.032761175775981824,-0.6132744424058462,-0.8414600659316201
0.0011469694674551563,0.5643628195152111,0.29227437778047965,0.004221152469767954,-0.003748243095089347,-0.2545424237568464,-0.05415535452740933,-0.08005551702425766,-0.29904442227416567,0.0021516684439252054,0.058055069977115924,-0.19765881254162837
0.006093076213348095,0.5633024793964384,0.2794941389038906,-0.003004129099286566,-0.008716953121380405,-0.26736718308868523,-0.05956036828458848,-0.08376494355206465,-0.3129563655646497,-0.006584358875201844,0.1322431624232606,-0.13492553958871445
0.0867765041260334,0.5715905065885188,0.2864323603238892,0.07251151770823717,-0.005659884621408548,-0.2640693610043748,0.00956366496271312,-0.08471053551701865,-0.31005157310523906,0.07618470940042452,0.04397732864571953,-0.21987325372015507
0.010137074372684487,0.5577403807948546,0.2736681140003766,0.014980943870163188,0.0017791122682698944,-0.2617590415976889,-0.047247716115009636,-0.07896911068053655,-0.3094456427357309,0.010160953048038513,0.03465120690664827,-0.22932893600376716
0.024126276725821218,0.5488553031743844,0.25931402857288005,0.024687455390372166,0.0004918228518690694,-0.26569324235321234,-0.040417647386730156,-0.08449538647104278,-0.31518537653917533,0.020820919992848727,0.036919803383005864,-0.23072423917192117
3.705069548080816e-05,0.562867985643294,0.2893746616493524,0.030617330935057942,0.009572265256417457,-0.2520784825652183,-0.035761206323082655,-0.07189561589829127,-0.2991722292255694,0.03156720920185418,-0.1325752187913615,-0.3841943156980109
-0.009876985683149937,0.5696896268214987,0.28611381062861135,-0.02521723226535151,-0.014688398061659615,-0.2663428412120208,-0.07754575023467941,-0.08690298271113088,-0.31047455861459583,-0.04099360221141565,0.29194371957548787,0.02260437614020645
0.05079747779547028,0.5623937401013075,0.2830207160644256,0.06820408437116048,0.01950334392475259,-0.25012345097037064,-0.007566446453985454,-0.06952010102608523,-0.30083317399884557,0.05371694956308315,-0.14921521828754955,-0.4027367901214974
0.03601535318684269,0.575306147859233,0.2789425370986444,0.07067115939751213,0.027221813402373847,-0.26072466377623776,-0.005182233677779646,-0.0645401293771119,-0.3117541474487926,0.06594905782632918,-0.24648408834529548,-0.5104553850074073
0.05462359675455265,0.577405231925232,0.28424056041833157,0.114179540234873,0.056050739517200535,-0.24318699944906377,0.029485998221723233,-0.044701430933170326,-0.29749318356685905,0.1722504586078888,-0.7608431613056461,-1.0082402319779906
0.018707362275414845,0.5785608879336186,0.29451641294649616,0.03818219233211117,0.01795992430539296,-0.2512209232695289,-0.035685847327326665,-0.06824844514048974,-0.3001910822651348,0.02906632986648197,-0.20749356070755057,-0.45927762574633146
-0.00746311841882622,0.5660465143910762,0.28058585551685566,0.009980002313562926,0.011792268038277763,-0.2598500058879974,-0.057031398972363145,-0.07192249023846949,-0.3081419585316295,0.01050145772530391,-0.1153066296358977,-0.3769200353672691
-0.01049756529053582,0.5716575967241736,0.2999167794096404,0.0291829155701321,0.025591553079550137,-0.2408914685727494,-0.03904924782764179,-0.05783235230054338,-0.28822552592493883,0.055069799040178814,-0.4574981059901431,-0.6979237540020621
0.054693718633762343,0.5636249994471306,0.2683603055075563,0.03924684224896545,-0.003651074996976717,-0.27336572483439603,-0.02520829134911509,-0.08293793220530767,-0.3199565548095148,0.044291524200367464,-0.03246554277169946,-0.3027367958752033
-0.019180993611424935,0.5541952564373671,0.2782517316213752,-0.010726694431658978,0.011025662027289782,-0.2501604991395072,-0.07459674914084932,-0.06884364561910034,-0.29717859961040616,0.0008224165758877022,-0.21855687379100408,-0.4686135635192907
0.030847388008441785,0.5418647384308224,0.26189270584298696,0.06527172980455861,0.026264951902129085,-0.24831373175973653,-0.013643165573024535,-0.065997249834938,-0.30006738483268686,0.05441673036483538,-0.3383927040963339,-0.5856782980853574
0.04025395147899844,0.5548967316456805,0.25983192439245145,0.023518165463602685,-0.011842407105566732,-0.2759956629891328,-0.031592671835693684,-0.08821754297003152,-0.32329333045963715,0.013802954069402108,0.19981880344909347,-0.07600619234034976
0.003918446824235423,0.5628476352552293,0.2792359743664534,-0.005010711415093781,-0.018002768972225736,-0.27122187299717904,-0.06204742968391393,-0.09400797209266408,-0.31843851080414487,0.011766209131658281,0.04078369039299898,-0.22320607177143348
-0.03166596186478703,0.540258836330854,0.25906332085470957,-0.032196281397527185,-0.010040181183863024,-0.266447681989304,-0.09170253412358526,-0.0882586528672096,-0.31343414771616496,-0.024936119461247356,0.0469107299766704,-0.21680827177741707
0.03542551030355082,0.5529371283427561,0.2618017290816099,-0.00031669441948218365,-0.020741117372182673,-0.2779395201557657,-0.05374137345901685,-0.09383403062150043,-0.323605984309564,0.004307124477273422,0.27204478659768416,-0.005167702057986119
0.06421758384875706,0.5689311589976281,0.27288438557889666,0.09211457873985604,0.01453205814128294,-0.26981726865717753,0.015808146052448874,-0.07857140974445229,-0.32278950874219026,0.08115688931563746,-0.06520722251767547,-0.3387933400296398
-0.026176161163403506,0.5570444494696567,0.2768604847255248,0.029985282945935433,0.04162226568276748,-0.24212975103620593,-0.05325283869014859,-0.054162371618811815,-0.29491837899468987,0.03648775308640424,-0.6236159988213482,-0.8654090060349201
0.05148293711436221,0.5609356847803421,0.27320977377131117,0.05799765618464225,0.00706879614357699,-0.2641154736741587,-0.010367175204942961,-0.0773665572458971,-0.3126934545400182,0.05671494843342762,-0.09298055123635836,-0.35598602016975966
0.019697190155636188,0.5565699296589122,0.26180650232583014,0.03619484365420685,0.007817663414481275,-0.2677762832920076,-0.030665201114125722,-0.0759846328889454,-0.3166396891414162,0.03172354542090256,-0.046020635397271074,-0.3159184431303628
0.01720688448977036,0.5479656600327872,0.26236581904676753,0.02531118390258294,0.016915163873758684,-0.257082955111525,-0.040899574418284845,-0.07007928486452293,-0.30742780358640776,0.032783072583890065,-0.1671869970729779,-0.426928911350818
-0.030083095391147924,0.5492808757024756,0.28849935473859095,-0.004148763396631598,0.008462869444683004,-0.23879608158780297,-0.06148707332802308,-0.06612622861048048,-0.28252008745709667,-0.0012081317402382603,-0.08194961536585085,-0.32236041187474956
-0.03245134205436112,0.5711460033984899,0.29628282276114026,-0.02207577979882087,0.0005261942042739595,-0.25198617856957944,-0.07938082974025772,-0.07517242649377263,-0.29654765385014537,-0.012997745856247182,-0.08131202382261331,-0.33048570488553775
-0.002558704084421045,0.5391923929963391,0.26308235419586723,0.024865390454318865,0.015541885806484423,-0.2512915546266016,-0.04652786445649219,-0.06768242314538536,-0.297856682205483,0.012125018207439614,-0.06646621536278276,-0.32190282448300483
0.0329412163132356,0.5725945102905087,0.28882071582619545,0.08134181593743642,0.036646027710601,-0.24440795331184878,0.0020615039424428387,-0.055479873787328916,-0.2952534225553976,0.06964893666247243,-0.29045852815774703,-0.5431092405005222
0.02701231003644358,0.5544699200378861,0.2648033605321669,0.012978628628693697,-0.009807577199938078,-0.2732118961640917,-0.04750879454076238,-0.09040096287970711,-0.3229776681539355,0.01892929654801256,0.06116333107110124,-0.2091091288478747
-0.013241475083223616,0.5516782019252581,0.2664328877164408,0.009111576141175075,-0.0034076420504103888,-0.26826040910095267,-0.05601886332056846,-0.08672332936741382,-0.31783891052713553,0.016991979794991913,-0.057222729103336784,-0.3216556260226464
0.01949177418746715,0.5567792382604999,0.2743283129105358,0.02909729113316833,-0.0010402758874727594,-0.263509005687189,-0.03239381547907032,-0.0822925281391645,-0.31158037475303585,0.02464594138901852,0.04796932617944095,-0.21680814802140497
0.04799122506643932,0.558139229342235,0.27549674115089545,0.05333163928890629,0.013526926240395252,-0.25216535143785707,-0.011738844868901126,-0.07032864517868549,-0.299861435721476,0.04425561335945709,-0.03586405565675674,-0.29293653694473426
