alpha1,gamma1,beta1,alpha2,gamma2,beta2,alpha3,gamma3,beta3,alpha4,gamma4,beta4
0.025923459514518833,0.5393613445553654,0.27179682116571613,0.020907310811416963,0.010404325555496176,-0.1409341659354797,-0.09121320027701474,-0.0864237972311617,-0.16235303670568169,0.022297506378507446,-0.02427626565365389,-0.1653101386807033
-0.04641023812490152,0.537113484628167,0.27028905713986173,0.009466385798085156,-0.000610075675436534,-0.13859689119820492,-0.08443318594108713,-0.08648741708261755,-0.15929544551324162,0.004771629783505746,0.007792936287990612,-0.13092690219871503
-0.028095825193395953,0.549776873249212,0.2847222613593706,0.011014822951683234,0.001165391549203964,-0.13386956963302915,-0.10204778228087943,-0.08518429018412853,-0.1547034881690027,0.009945522209841663,-0.0016566309721890763,-0.13556354809812501
0.007819102794199239,0.5334108878239244,0.27047847830263694,-0.019444837057089045,-0.01227507192764338,-0.13398308387942603,-0.10156650544721452,-0.08348959383846835,-0.15356228810877617,-0.03644281350581909,0.061622795850647644,-0.07250430990839021
-0.004878229287490115,0.5279128408968424,0.26532984380414715,-0.03201804025529145,-0.009185036929425879,-0.1355873554702767,-0.12037391298854966,-0.08330538467146843,-0.15466715679390258,-0.03377641708850218,0.028668087742762034,-0.10709090800300058
-0.0006279491934053053,0.5515683255220094,0.28047508922724074,0.013704306810559161,-0.000133327065725727,-0.1375550597188153,-0.09380073138297791,-0.08360684037141797,-0.15848291052323416,-0.001977700210049433,0.030829602585488395,-0.10705096894912135
-0.03051039294441628,0.5355515573326878,0.27507948187393516,-0.018234935628100506,0.004379424711244523,-0.13254678689027788,-0.12187317528391008,-0.08086720027376298,-0.151994223194077,-0.02133422798268215,-0.005842429840732123,-0.13850565150574248
-0.009217549460959469,0.5384883489775449,0.2702989191219823,-0.03538023143227362,-0.019183662184740578,-0.1392402824307576,-0.11926316013317029,-0.09257371940046323,-0.16048520992266282,-0.025870529374754273,0.03909214969502351,-0.10014563368573083
0.004739178589350548,0.5438172704897725,0.27930141734908764,0.0736684714575171,0.03141526749296276,-0.12885677750615412,-0.08819047717681841,-0.07516974037997609,-0.14804402520327245,0.04892421856024459,-0.07284083402691487,-0.20219498888544682
0.04001701475366115,0.5280962119208976,0.24997828921903578,0.02940521803706069,-0.005979578589908242,-0.14625548788848441,-0.07161922943735724,-0.09069165307899488,-0.1676590242692836,0.032323488512417196,0.011450859767576258,-0.13474457600866604
0.07802301334184658,0.5407299046061018,0.27136276936944287,0.02839862000641625,0.003873904302735543,-0.13210003132806475,-0.08653171395253634,-0.08005628005672387,-0.15085420713247968,0.04009259125729246,-0.03776223671784277,-0.16945082999282415
-0.02012571695345857,0.5390822320216138,0.28055401191263274,-0.04960554482464321,-0.03061713019397082,-0.1327159999817905,-0.10848543741937856,-0.08560139582470562,-0.1516539390709511,-0.044927839280729374,0.08628144032404854,-0.04642643498842556
-0.005769591950015723,0.5463461084594607,0.2780927994112392,0.012511105477393187,0.008525731492537695,-0.13741151460016462,-0.09254677087280586,-0.08392894691131055,-0.15860930734447246,0.0028253561521123538,-0.004435332539553068,-0.14225216755681389
-0.01658715456901258,0.5537675017707377,0.2849932298001729,0.025624429658694336,0.014242077908971333,-0.13513658456127708,-0.09821975694641928,-0.08495164498040028,-0.15576743284193287,0.017419719381458785,-0.022228593289735053,-0.15760935797334924
0.04534316351598423,0.5441271186239375,0.2752266846261426,0.012671611351639227,-0.008066178245321017,-0.13414673618680992,-0.08232203199042344,-0.08409765787326956,-0.1535485551871208,0.011898726407431578,0.02743702853002154,-0.10685210132629572
0.03682406977736614,0.5338658070118854,0.2651080984377704,0.007883349428344868,0.0026130914448617222,-0.13619715507523247,-0.10402700780954195,-0.08050420097835989,-0.15534325985545186,-0.0070082681191497844,0.01996375225410913,-0.11665711327020321
0.02774095575488444,0.5493076506204856,0.28568774275843234,0.006865103122476489,-0.0035870293891097586,-0.13318335305316123,-0.10723517353821933,-0.08718994905456237,-0.1539571775933875,0.008384313840772999,0.010566150690352561,-0.12262462593560149
0.004919924217641151,0.5469129172822992,0.27709121379067064,0.015384178958102837,0.010554712634380601,-0.13843271025665493,-0.10686261679213183,-0.08493764110589416,-0.159387725045199,0.030508795509084106,-0.05524649382420524,-0.19335483944133722
0.04737660280623639,0.5468844576097173,0.28365076733558514,0.030770957352208077,-0.007225598743418332,-0.13409820274882844,-0.06632493552509248,-0.08714298587300502,-0.15476445292232952,0.026763912820947713,0.029202477945800064,-0.10514702933042336
-0.028867670461619258,0.5395138688910597,0.2778157751072357,0.02751452451441192,0.012512088443981207,-0.13325298912810005,-0.08944357931826442,-0.08520154385009837,-0.15408662773561202,0.03193161404508329,-0.03498880178520315,-0.1680891320339988
