alpha1,gamma1,beta1,alpha2,gamma2,beta2,alpha3,gamma3,beta3,alpha4,gamma4,beta4
0.0015504936542877572,0.536235348942191,0.26121441420110264,-0.01176741472733734,-0.005626340538249367,-0.2555056755322632,-0.2917261301795226,-0.2815628903065477,-0.3538127259609743,-0.015152036854367208,0.0180036959889649,-0.2374957734574037
-0.0507007646830599,0.5508284346471567,0.27207287845935113,-0.06943032202743209,-0.0256430921026056,-0.2582219880254548,-0.3224624040464633,-0.28793149187177874,-0.3574292042815072,-0.07430973973750407,0.06283388352330185,-0.19529025315341353
-0.018763823506730528,0.5623377146609916,0.28363183544570936,0.03512446652947305,0.025215665333494158,-0.25304261407410944,-0.30189230466257083,-0.27871511486776773,-0.35126968148378357,0.044085976265617464,-0.07461379177768611,-0.32765906695789393
0.040591421432339986,0.581225186297763,0.30152625760196883,0.0362917486448304,0.0005124132476688391,-0.2524877185154722,-0.26067774275846173,-0.27382471811593456,-0.3488451210128585,0.049140417329341525,-0.023408617246471322,-0.27557966952329815
0.04719462192180349,0.56050700988517,0.2894052449258736,0.053203722065076814,0.010205956516991957,-0.24718554847228924,-0.2683935290005717,-0.2710344774983527,-0.3388838503511587,0.04728690791663672,-0.020205795115559887,-0.267386283704893
0.009808508714886761,0.5498664242198528,0.27745556370081664,0.011505670235689859,-0.004470695814120372,-0.25025594437603654,-0.2724298233307402,-0.27569942964733285,-0.3465936066930671,0.00021769491351914303,0.02931255860247485,-0.2212151602450983
0.04975226381909339,0.5634226288739369,0.2895464482115704,0.05823994706519106,0.012926158566758923,-0.24930092049210864,-0.26154933502853867,-0.273003240201034,-0.342228170265473,0.05534195034687722,-0.03023085135866605,-0.27949299945426237
-0.009073230954647966,0.5541823322578303,0.27357038998819444,-0.04522798265670077,-0.020786950929442778,-0.2584428457773568,-0.33408878507388917,-0.28495770582416213,-0.3535007078542211,-0.039840157303676724,0.04945946100226124,-0.20897774332093236
0.025497797653691572,0.5562788865598755,0.2809439489832204,0.05568217808218291,0.01815267024659562,-0.24820475377661408,-0.2725359025417136,-0.26985678438829797,-0.3419465632131001,0.03860620856046954,-0.02011711041261265,-0.2688349574080596
0.007456986717374032,0.5442019869913686,0.26244530929812304,0.011402701606283221,0.003108913669950904,-0.25972757248153316,-0.3058334857276263,-0.29201928197663546,-0.3627841388293153,0.01428062900767856,-0.01257064478082262,-0.2721953977789509
0.05252920602108153,0.560521594595173,0.2813986912571725,0.039022048659897425,-0.0008468570795449642,-0.25344870154946286,-0.27948549459444716,-0.2794384616505447,-0.3513627919316538,0.05290044952799269,-0.0237629636534319,-0.27677846740638634
-0.0322186424361277,0.5664185193301584,0.29303164070354293,-0.03661459971358764,-0.011383280937633996,-0.2494782179075361,-0.2838024147523713,-0.276092564812288,-0.3430402841562882,-0.030294367989602278,0.012902366798602445,-0.2363172247572749
-0.0015309066671555748,0.5608187303497778,0.28962860378687355,-0.018305570153085964,-0.013757873637747803,-0.24897364983327425,-0.30071751556047666,-0.27255908519624233,-0.3413761462268767,-0.012358846710246762,0.028343352740649246,-0.22045414585673817
-0.009437156499522953,0.5603671929605395,0.28979301212136804,0.03239192556023567,0.01898981994797336,-0.2462700312859171,-0.298628520119272,-0.26778944423967216,-0.3383070083599616,0.026659148044044307,-0.04204292335700101,-0.288410831442406
0.0029097901478855313,0.5435733851711769,0.26753012313541086,0.0217287250272589,0.012036747367695486,-0.2516753413871931,-0.2617875135019694,-0.2659102198941326,-0.34298755950774773,0.04266204583535761,-0.05542699146275307,-0.30684176714494815
-0.004597377815663996,0.5587909075762213,0.28611370384205215,0.01406775143502969,0.016506474791392722,-0.24813570482818315,-0.2856785458914272,-0.2593946331452359,-0.33760421316827904,0.01620248308279731,-0.0400387626176123,-0.28849468534955675
-0.014273181269572572,0.5576845344904171,0.28893818890803735,0.010158894655136863,0.01683622103785655,-0.24466567462148392,-0.2917756178278534,-0.27202212429108497,-0.3385801251080881,0.0202138943126074,-0.05060353015368825,-0.2953000747614364
-0.011691515937680806,0.5482353129268686,0.2700805182416723,0.04092735907646611,0.03682506558727897,-0.25420274785051516,-0.3075757033924551,-0.2737950584706306,-0.3503181652673605,0.042651732273728614,-0.0945476930037519,-0.3487783487435711
0.0486266755768226,0.5573407598818136,0.28570942124930626,0.03575813741026942,-0.013950531515987392,-0.24844315683654056,-0.2166125921444263,-0.26901214772804405,-0.34063749788907227,0.043639988141317365,0.020448125821984797,-0.2275829526229406
0.010985944838794802,0.5449101306609574,0.27127144696744504,0.034411648371215804,0.006314084288696208,-0.25130795294352587,-0.2748604822215089,-0.2774754806374404,-0.34636631733070666,0.036877831382795025,-0.020335714225789572,-0.27154721958126704
0.00010437463667160494,0.5500140355728028,0.282315290131479,0.014703883937880977,0.007201928497553744,-0.24523500259957923,-0.28792411091271264,-0.27434230293431,-0.34045759701342304,0.011326509408902365,-0.012104017663203305,-0.2575160272845714
-0.019175182510008375,0.5363658719269613,0.26360327987443694,0.018612485308531938,0.020748022246946357,-0.25141779040336454,-0.3082834299058983,-0.27654377209006215,-0.3479340559655869,0.011663504411167367,-0.03977910616925741,-0.2913593541392843
